ticker,name,market,locale,primary_exchange,type,active,currency_symbol,currency_name,cik,composite_figi,share_class_figi,base_currency_symbol,base_currency_name,last_updated_utc
A,Agilent Technologies Inc.,stocks,us,XNYS,CS,TRUE,USD,usd,1090872,BBG000C2V3D6,BBG001SCTQY4,,,2025-12-27T07:06:04.151803861Z
AA,Alcoa Corporation,stocks,us,XNYS,CS,TRUE,USD,usd,1675149,BBG00B3T3HD3,BBG00B3T3HF1,,,2025-12-27T07:06:04.151805213Z
AAA,Alternative Access First Priority CLO Bond ETF,stocks,us,ARCX,ETF,TRUE,USD,usd,1776878,BBG01B0JRCS6,BBG01B0JRCT5,,,2025-12-27T07:06:04.151805454Z
AAAA,Amplius Aggressive Asset Allocation ETF,stocks,us,BATS,ETF,TRUE,USD,usd,,BBG01W275XX6,BBG01W275ZB5,,,2025-12-27T07:06:04.151805574Z
AAAC,Columbia AAA CLO ETF,stocks,us,ARCX,ETF,TRUE,USD,usd,1551950,BBG01YZNRVY0,BBG01YZNRWV1,,,2025-12-27T07:06:04.151805704Z
AAAU,Goldman Sachs Physical Gold ETF Shares,stocks,us,BATS,ETF,TRUE,USD,usd,1708646,BBG00LPXX872,BBG00LPXX8Z1,,,2025-12-27T07:06:04.151805855Z
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,stocks,us,XNAS,CS,TRUE,USD,usd,2034334,,,,,2025-12-27T07:06:04.151805995Z
AACBR,Artius II Acquisition Inc. Rights,stocks,us,XNAS,RIGHT,TRUE,USD,usd,2034334,,,,,2025-12-27T07:06:04.151806125Z
AACBU,Artius II Acquisition Inc. Units,stocks,us,XNAS,UNIT,TRUE,USD,usd,2034334,,,,,2025-12-27T07:06:04.151806376Z
AACG,ATA Creativity Global American Depositary Shares,stocks,us,XNAS,ADRC,TRUE,USD,usd,1420529,BBG000V2S3P6,BBG001T125S9,,,2025-12-27T07:06:04.151806506Z
AADR,AdvisorShares Dorsey Wright ADR ETF,stocks,us,XNAS,ETF,TRUE,USD,usd,1408970,BBG000BDYRW6,BBG001T9B1Y4,,,2025-12-27T07:06:04.151806626Z
AAEQ,Alpha Architect US Equity 2 ETF,stocks,us,XNAS,ETF,TRUE,USD,usd,,BBG01YY0GN44,BBG01YY0GP12,,,2025-12-27T07:06:04.151806836Z
AAL,American Airlines Group Inc.,stocks,us,XNAS,CS,TRUE,USD,usd,6201,BBG005P7Q881,BBG005P7Q907,,,2025-12-27T07:06:04.151806957Z
AALG,Leverage Shares 2X Long AAL Daily ETF,stocks,us,XNAS,ETF,TRUE,USD,usd,1976322,BBG01VH49P35,BBG01VH49Q06,,,2025-12-27T07:06:04.151807087Z
AAM,AA Mission Acquisition Corp.,stocks,us,XNYS,CS,TRUE,USD,usd,2012964,,,,,2025-12-27T07:06:04.151807217Z
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",stocks,us,XNYS,UNIT,TRUE,USD,usd,2012964,,,,,2025-12-27T07:06:04.151807347Z
AAM.WS,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",stocks,us,XNYS,WARRANT,TRUE,USD,usd,2012964,,,,,2025-12-27T07:06:04.151807638Z
AAME,Atlantic American Corp,stocks,us,XNAS,CS,TRUE,USD,usd,8177,BBG000B9XB24,BBG001S5N8T1,,,2025-12-27T07:06:04.15180853Z
AAMI,Acadian Asset Management Inc.,stocks,us,XNYS,CS,TRUE,USD,usd,1748824,BBG00P2HLNY3,BBG00P2HLNZ2,,,2025-12-27T07:06:04.151809451Z
AAOI,"Applied Optoelectronics, Inc.",stocks,us,XNAS,CS,TRUE,USD,usd,1158114,BBG000D6VW15,BBG001SG47G4,,,2025-12-27T07:06:04.151809592Z
AAON,Aaon Inc,stocks,us,XNAS,CS,TRUE,USD,usd,824142,BBG000C2LZP3,BBG001S6CZK0,,,2025-12-27T07:06:04.151809702Z
AAP,ADVANCE AUTO PARTS INC,stocks,us,XNYS,CS,TRUE,USD,usd,1158449,BBG000F7RCJ1,BBG001SD2SB2,,,2025-12-27T07:06:04.151809832Z
AAPB,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,stocks,us,XNAS,ETF,TRUE,USD,usd,1689873,BBG0193F21N2,BBG0193F22H7,,,2025-12-27T07:06:04.151809942Z
AAPD,Direxion Daily AAPL Bear 1X Shares,stocks,us,XNAS,ETF,TRUE,USD,usd,,BBG0193YGJ57,BBG0193YGK09,,,2025-12-27T07:06:04.151810053Z
AAPG,Ascentage Pharma Group International American Depository Shares,stocks,us,XNAS,ADRC,TRUE,USD,usd,2023311,BBG01RJXM9C9,BBG01RJXMB89,,,2025-12-27T07:06:04.151810373Z
AAPL,Apple Inc.,stocks,us,XNAS,CS,TRUE,USD,usd,320193,BBG000B9XRY4,BBG001S5N8V8,,,2025-12-27T07:06:04.151810503Z
AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,stocks,us,BATS,ETF,TRUE,USD,usd,1415726,BBG01M698CQ1,BBG01M698DK5,,,2025-12-27T07:06:04.151810704Z
AAPU,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X Shares,stocks,us,XNAS,ETF,TRUE,USD,usd,,BBG0193YBZ92,BBG0193YC043,,,2025-12-27T07:06:04.151810984Z
AAPW,Roundhill AAPL WeeklyPay ETF,stocks,us,BATS,ETF,TRUE,USD,usd,,BBG01SCFVRC3,BBG01SCFVS86,,,2025-12-27T07:06:04.151811105Z
AAPX,T-Rex 2X Long Apple Daily Target ETF,stocks,us,BATS,ETF,TRUE,USD,usd,,BBG01KY72SD3,BBG01KY72T78,,,2025-12-27T07:06:04.151811375Z
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,stocks,us,BATS,ETF,TRUE,USD,usd,1848758,BBG01QY0GMH9,BBG01QY0GNH7,,,2025-12-27T07:06:04.151811565Z
AARD,"Aardvark Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,TRUE,USD,usd,1774857,BBG01223DLB2,BBG01223DLC1,,,2025-12-27T07:06:04.151811676Z
AAT,"AMERICAN ASSETS TRUST, INC.",stocks,us,XNYS,CS,TRUE,USD,usd,1500217,BBG00161BCR0,BBG001TCBJS5,,,2025-12-27T07:06:04.151811796Z
AAUC,Allied Gold Corporation,stocks,us,XNYS,CS,TRUE,USD,usd,1993344,BBG01K0WWT59,BBG01J3PPZ58,,,2025-12-27T07:06:04.151812437Z
AAUM,Tema Alternative Asset Managers ETF,stocks,us,BATS,ETF,TRUE,USD,usd,2056807,BBG01X2NVVB8,BBG01X2NVW80,,,2025-12-27T07:06:04.151812557Z
AAUS,Alpha Architect US Equity ETF,stocks,us,XNAS,ETF,TRUE,USD,usd,,BBG01W26H9C1,BBG01W26HBL6,,,2025-12-27T07:06:04.151812688Z
AAVM,EA Series Trust Alpha Architect Global Factor Equity ETF,stocks,us,XNAS,ETF,TRUE,USD,usd,,BBG00GM1DQV1,BBG00GM1DRK1,,,2025-12-27T07:06:04.151812798Z
AAXJ,iShares MSCI All Country Asia ex Japan ETF,stocks,us,XNAS,ETF,TRUE,USD,usd,1100663,BBG000G6GXC5,BBG001T2V2D8,,,2025-12-27T07:06:04.151812918Z
AB,"AllianceBernstein Holding, L.P.",stocks,us,XNYS,CS,TRUE,USD,usd,825313,BBG000B9WM03,BBG001S5N9S0,,,2025-12-27T07:06:04.151813038Z
ABAT,American Battery Technology Company Common Stock,stocks,us,XNAS,CS,TRUE,USD,usd,1576873,BBG004M1KJN5,BBG004M1KJP3,,,2025-12-27T07:06:04.151813158Z
ABBV,ABBVIE INC.,stocks,us,XNYS,CS,TRUE,USD,usd,1551152,BBG0025Y4RY4,BBG0025Y4RZ3,,,2025-12-27T07:06:04.151813309Z
ABCB,Ameris Bancorp,stocks,us,XNYS,CS,TRUE,USD,usd,351569,BBG000CDY3H5,BBG001S80PX7,,,2025-12-27T07:06:04.151813449Z
ABCL,AbCellera Biologics Inc. Common Shares,stocks,us,XNAS,CS,TRUE,USD,usd,1703057,BBG00LLW2MF2,BBG00LLW2MH0,,,2025-12-27T07:06:04.151813619Z
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,stocks,us,XNAS,ETF,TRUE,USD,usd,,BBG01KMFQRF2,BBG01KMFQS88,,,2025-12-27T07:06:04.15181375Z
